    0.14060904646766883563E+00   -0.99006519787913616071E+00    0.21219957909652723151-312
    0.14036650252237550807E+00   -0.99009961365997711802E+00    0.21219957909652723151-312
    0.14010513689151748995E+00   -0.99013663229708304137E+00    0.21219957909652723151-312
    0.13979061185766311626E+00   -0.99018108689090822416E+00    0.21219957909652723151-312
    0.13935711712082152203E+00   -0.99024218952121689785E+00    0.21219957909652723151-312
    0.13876045682244561585E+00   -0.99032597442580805325E+00    0.21219957909652723151-312
    0.13804686302476867898E+00   -0.99042569817680958799E+00    0.21219957909652723151-312
    0.13721282869678594341E+00   -0.99054158905167954963E+00    0.21219957909652723151-312
    0.13627283718361105080E+00   -0.99067134502110676397E+00    0.21219957909652723151-312
    0.13522637670253234710E+00   -0.99081472891954169846E+00    0.21219957909652723151-312
    0.13406686263307679430E+00   -0.99097228838334505685E+00    0.21219957909652723151-312
    0.13281006750325285992E+00   -0.99114150653162602644E+00    0.21219957909652723151-312
    0.13146895884956646960E+00   -0.99132028772693392416E+00    0.21219957909652723151-312
    0.13004657339925981829E+00   -0.99150788637665976388E+00    0.21219957909652723151-312
    0.12854392066912434522E+00   -0.99170381690251141471E+00    0.21219957909652723151-312
    0.12696073505246974200E+00   -0.99190774357040711884E+00    0.21219957909652723151-312
    0.12531194563675995823E+00   -0.99211739037309976119E+00    0.21219957909652723151-312
    0.12361563743041628638E+00   -0.99233017397571454676E+00    0.21219957909652723151-312
    0.12184871307927289119E+00   -0.99254868450919075951E+00    0.21219957909652723151-312
    0.12002653447902668360E+00   -0.99277068400560408712E+00    0.21219957909652723151-312
    0.11816065709095549541E+00   -0.99299449097959946453E+00    0.21219957909652723151-312
    0.11624154724163376917E+00   -0.99322097374897955202E+00    0.21219957909652723151-312
    0.11427346203834422289E+00   -0.99344933231331489232E+00    0.21219957909652723151-312
    0.11225983361103865354E+00   -0.99367888664176717839E+00    0.21219957909652723151-312
    0.11019007491550641964E+00   -0.99391053289021702444E+00    0.21219957909652723151-312
    0.10806336838556147850E+00   -0.99414400788475631998E+00    0.21219957909652723151-312
    0.10588992387536884376E+00   -0.99437785776920262215E+00    0.21219957909652723151-312
    0.10364558072098142838E+00   -0.99461429388331767942E+00    0.21219957909652723151-312
    0.10132820498595720982E+00   -0.99485305189978889828E+00    0.21219957909652723151-312
    0.98939966023101122428E-01   -0.99509340422060255094E+00    0.21219957909652723151-312
    0.96460216947605523230E-01   -0.99533684074609685144E+00    0.21219957909652723151-312
    0.93876899000591859656E-01   -0.99558381256126948777E+00    0.21219957909652723151-312
    0.91184990130072696157E-01   -0.99583397088820913012E+00    0.21219957909652723151-312
    0.88375882444640702085E-01   -0.99608719668617906606E+00    0.21219957909652723151-312
    0.85423349083838723272E-01   -0.99634474527208727324E+00    0.21219957909652723151-312
    0.82314625566324878259E-01   -0.99660639292444630488E+00    0.21219957909652723151-312
    0.79040671928341132979E-01   -0.99687139199653851396E+00    0.21219957909652723151-312
    0.75582802870995696720E-01   -0.99713952880736012041E+00    0.21219957909652723151-312
    0.71917840008360670034E-01   -0.99741055954332646927E+00    0.21219957909652723151-312
    0.68032172703329146790E-01   -0.99768312779021406378E+00    0.21219957909652723151-312
    0.63908821344540345244E-01   -0.99795574178134349719E+00    0.21219957909652723151-312
    0.59522114919589766413E-01   -0.99822698713043178653E+00    0.21219957909652723151-312
    0.54859900109810844082E-01   -0.99849406175497190663E+00    0.21219957909652723151-312
    0.49900563991338103831E-01   -0.99875419083643723894E+00    0.21219957909652723151-312
    0.44619741662341734501E-01   -0.99900404336218062706E+00    0.21219957909652723151-312
    0.39003177352493992314E-01   -0.99923908658359128498E+00    0.21219957909652723151-312
    0.33024543759195383597E-01   -0.99945454099198371978E+00    0.21219957909652723151-312
    0.26664416247496078999E-01   -0.99964444124207507691E+00    0.21219957909652723151-312
    0.19902856692548175077E-01   -0.99980191852960353938E+00    0.21219957909652723151-312
    0.12713114717193453249E-01   -0.99991918509156896278E+00    0.21219957909652723151-312
    0.50728579985953202100E-02   -0.99998713297308283732E+00    0.21219957909652723151-312
   -0.30432080773940667871E-02   -0.99999536943157796287E+00    0.21219957909652723151-312
   -0.11662681208578013631E-01   -0.99993198862073962019E+00    0.21219957909652723151-312
   -0.20819331909708697209E-01   -0.99978325422005009937E+00    0.21219957909652723151-312
   -0.30543787572922469209E-01   -0.99953342967641667371E+00    0.21219957909652723151-312
   -0.40876846556114065923E-01   -0.99916419242065912520E+00    0.21219957909652723151-312
   -0.51866371588129595027E-01   -0.99865403393681939637E+00    0.21219957909652723151-312
   -0.63566812028966884762E-01   -0.99797758512327017222E+00    0.21219957909652723151-312
   -0.76036232820260701848E-01   -0.99710505529683435277E+00    0.21219957909652723151-312
   -0.89346049678221461932E-01   -0.99600064428036227948E+00    0.21219957909652723151-312
   -0.10359294066850163740E+00   -0.99461977792704903134E+00    0.21219957909652723151-312
   -0.11889179065823295145E+00   -0.99290721727363773219E+00    0.21219957909652723151-312
   -0.13537400638470598047E+00   -0.99079456921975184169E+00    0.21219957909652723151-312
   -0.15320063262743277566E+00   -0.98819510531197951586E+00    0.21219957909652723151-312
   -0.17258160514598719359E+00   -0.98499522311797771401E+00    0.21219957909652723151-312
   -0.19377498132558371169E+00   -0.98104600127224916850E+00    0.21219957909652723151-312
   -0.21710327690304251358E+00   -0.97614863988941802386E+00    0.21219957909652723151-312
   -0.24296869112632485388E+00   -0.97003413091105228361E+00    0.21219957909652723151-312
   -0.27187678892410499509E+00   -0.96233206932135306744E+00    0.21219957909652723151-312
   -0.30447712317726122189E+00   -0.95251964885859385923E+00    0.21219957909652723151-312
   -0.34157127800295350450E+00   -0.93985587301640516333E+00    0.21219957909652723151-312
   -0.38418259129095816418E+00   -0.92325713457788383121E+00    0.21219957909652723151-312
   -0.43354514667512245030E+00   -0.90113184706481586073E+00    0.21219957909652723151-312
   -0.49109968401260284399E+00   -0.87110338098455442069E+00    0.21219957909652723151-312
   -0.55836492774177581833E+00   -0.82959544807569995939E+00    0.21219957909652723151-312
   -0.63641749991800211639E+00   -0.77134477751399865841E+00    0.21219957909652723151-312
   -0.72481203655252612883E+00   -0.68894666823243988496E+00    0.21219957909652723151-312
   -0.81937412642494089621E+00   -0.57325913943465811595E+00    0.21219957909652723151-312
   -0.90912859824928027308E+00   -0.41651553613916808549E+00    0.21219957909652723151-312
   -0.97557776068967227978E+00   -0.21965434857458335238E+00    0.21219957909652723151-312
   -0.99999999999983224530E+00    0.57922997167682726821E-06    0.21219957909652723151-312
   -0.97557741810952258721E+00    0.21965587011222303948E+00    0.21219957909652723151-312
   -0.90912782185563356663E+00    0.41651723076966629122E+00    0.21219957909652723151-312
   -0.81937313464413219499E+00    0.57326055701002920362E+00    0.21219957909652723151-312
   -0.72481147638704601643E+00    0.68894725755868302386E+00    0.21219957909652723151-312
   -0.63641354493036150775E+00    0.77134804065944884144E+00    0.21219957909652723151-312
   -0.55836576632566370382E+00    0.82959488366042521967E+00    0.21219957909652723151-312
